59,90,94
21,7,45
72,72,69
81,87,79
61,39,87
46,96,87
16,21,87
73,84,59
18,5,49
73,52,72
28,25,42
27,95,94
81,28,89
97,100,67
24,77,52
9,39,84
85,95,98
44,65,91
56,84,60
8,57,46
58,40,77
89,1,54
83,3,61
56,66,83
25,33,94
91,88,70
33,15,44
55,60,70
64,62,70
15,61,59
74,13,63
29,2,43
8,5,62
8,3,55
37,62,87
35,71,76
2,22,62
29,38,88
1,79,79
34,86,80
48,97,87
57,29,62
98,16,63
25,48,57
5,45,81
40,38,85
90,77,82
65,21,90
25,51,49
50,69,63
79,82,66
49,1,46
67,21,42
51,19,51
76,71,42
76,91,49
34,92,60
52,51,82
30,77,45
33,32,84
31,70,83
40,54,75
13,98,92
82,52,83
93,82,62
67,69,61
3,86,84
35,53,47
38,12,94
25,3,80
99,5,68
17,74,59
1,61,48
88,42,72
96,60,66
7,21,73
2,86,88
52,72,100
23,22,89
36,21,62
26,75,95
89,13,97
50,45,66
23,17,50
70,2,50
51,16,54
12,29,57
87,14,92
89,73,66
10,6,72
7,56,89
41,59,51
14,92,61
49,49,47
94,44,53
16,11,94
80,75,49
99,13,56
97,58,78
61,70,61
9,28,42
96,8,52
98,26,88
81,73,76
18,17,82
3,58,44
98,71,51
8,79,58
37,57,93
31,5,52
62,66,80
78,69,85
64,51,70
38,17,76
62,99,44
65,99,61
7,66,93
47,7,62
82,66,66
64,83,83
99,23,96
7,31,81
33,33,88
68,97,88
35,73,64
31,40,64
80,90,45
31,71,59
32,91,93
34,5,88
96,90,73
41,59,69
28,2,85
52,40,75
18,7,42
33,78,56
65,99,100
25,22,69
17,97,89
99,59,79
20,73,73
13,15,55
32,93,100
96,34,46
89,100,79
32,96,95
46,84,61
95,47,94
22,15,87
99,48,58
16,14,86
32,54,72
65,55,84
29,31,92
93,26,44
85,6,63
83,64,71
6,54,50
63,79,72
62,58,68
28,1,52
68,5,67
63,39,86
38,81,72
68,56,56
9,70,58
95,20,77
59,9,92
66,38,81
70,85,48
95,52,65
96,89,86
24,56,62
62,41,57
31,23,66
21,7,63
83,87,93
34,77,42
52,92,77
86,69,88
33,85,43
27,88,69
58,30,73
55,5,59
3,91,78
52,23,97
80,69,96
16,14,57
8,45,43
45,44,80
5,89,48
82,11,61
13,35,58
11,30,94
20,72,79
54,15,100
62,35,51
87,69,98
73,22,97
50,97,81
44,37,90
18,15,91
64,73,72
42,97,54
87,64,87
82,51,80
44,65,58
41,82,88
83,8,83
46,11,75
44,51,93
72,58,72
59,46,99
32,50,57
89,47,62
92,79,94
88,40,92
63,9,54
20,29,52
84,93,91
